"","","","","","","","","","","","","","","","","","","","","","",""
"","2016","1","2016-03","3","201610","10","42438","08","0815","PARTICULIEREN","BT_P_IB_2","21","0","0","21","20","311","0","","21","1","0.95238095238095"
"","2016","1","2016-03","3","201610","10","42438","08","0815","PARTICULIEREN","BT_P_OLDV_1","7","0","0","7","1","552","0","","2","1","0.14285714285714"
"","2016","1","2016-03","3","201610","10","42438","08","0815","TOESLAGEN","BT_T_BETA_1","48","0","1","47","39","936","0","0","9","0.97916666666667","0.8125"
"","2016","1","2016-03","3","201610","10","42438","08","0815","TOESLAGEN","BT_T_BETA_2","13","0","0","13","13","136","0","","11","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0815","TOESLAGEN","BT_T_GRIP_1","2","0","0","2","2","18","0","","2","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0815","TOESLAGEN","BT_T_TOESLAGEN_1","92","0","0","92","85","1120","0","0","11","1","0.92391304347826"
"","2016","1","2016-03","3","201610","10","42438","08","0815","TOESLAGEN","BT_T_VERMOGEN_1","","","","","","","","","1","",""
"","2016","1","2016-03","3","201610","10","42438","08","0815","TOESLAGEN","BT_T_WKO_1","1","0","0","1","1","15","0","","1","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0830","AUTO","BT_A_AUTO_1","70","0","2","68","68","443","0","0","4","0.97142857142857","0.97142857142857"
"","2016","1","2016-03","3","201610","10","42438","08","0830","AUTO","BT_A_BPM_1","6","0","0","6","6","49","0","0","1","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0830","AUTO","BT_A_HSB_1","1","0","0","1","1","9","0","","","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0830","AUTO","BT_A_VRACHT_1","1","0","0","1","1","9","0","","","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0830","BO_TOESLAGEN","TT_BO_TOESL_2","9","0","0","9","0","3772","0","","7","1","0"
"","2016","1","2016-03","3","201610","10","42438","08","0830","BO_TOESLAGEN","TT_T_HUZO_1","1","0","1","0","0","0","405","0","","0","0"
"","2016","1","2016-03","3","201610","10","42438","08","0830","BUITENLAND","BT_B_BUIT_1","30","0","1","29","29","248","0","0","2","0.96666666666667","0.96666666666667"
"","2016","1","2016-03","3","201610","10","42438","08","0830","BUITENLAND","BT_B_IB_2","1","0","0","1","1","9","0","","1","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0830","BUITENLAND","BT_B_TSL_1","1","0","0","1","1","10","0","","","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0830","DOUANE","BT_D_OVERIG_1","1","0","0","1","1","7","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0830","GENERIEK","BT_G_ENGELS_1","1","0","0","1","1","7","0","","1","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0830","GENERIEK","BT_G_ERFETM_1","14","0","0","14","5","1393","0","0","10","1","0.35714285714286"
"","2016","1","2016-03","3","201610","10","42438","08","0830","GENERIEK","BT_G_GELDZAKEN_1","14","0","0","14","9","529","0","0","","1","0.64285714285714"
"","2016","1","2016-03","3","201610","10","42438","08","0830","GENERIEK","BT_G_INVOR_1","6","0","0","6","3","240","0","0","7","1","0.5"
"","2016","1","2016-03","3","201610","10","42438","08","0830","GENERIEK","BT_G_SCHEIDEN_1","3","0","0","3","2","99","0","0","2","1","0.66666666666667"
"","2016","1","2016-03","3","201610","10","42438","08","0830","GENERIEK (1 BRN)","BT_G_CAMP_1","3","0","0","3","3","12","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0830","GENERIEK (BEL ONS)","BT_G_BELONS_1","1","0","0","1","1","4","0","","","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0830","GENERIEK (EBV)","BT_G_EBV_1","32","0","0","32","32","259","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0830","GENERIEK (OHV)","BT_G_OHVPART_1","1","0","0","1","0","60","0","0","","1","0"
"","2016","1","2016-03","3","201610","10","42438","08","0830","INTERMEDIAIRS","BT_HI_IB_1","30","0","0","30","26","355","0","0","","1","0.86666666666667"
"","2016","1","2016-03","3","201610","10","42438","08","0830","INTERMEDIAIRS","BT_HI_OVERIG_1","59","0","0","59","55","671","0","0","","1","0.93220338983051"
"","2016","1","2016-03","3","201610","10","42438","08","0830","ONDERNEMINGEN","BT_O_EXPERTLIJN_1","2","0","0","2","2","28","0","","4","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0830","ONDERNEMINGEN","BT_O_IB_1","44","0","0","44","40","636","0","0","20","1","0.90909090909091"
"","2016","1","2016-03","3","201610","10","42438","08","0830","ONDERNEMINGEN","BT_O_IB_2","7","0","0","7","4","464","0","","9","1","0.57142857142857"
"","2016","1","2016-03","3","201610","10","42438","08","0830","ONDERNEMINGEN","BT_O_KTU_1","9","0","0","9","9","70","0","","11","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0830","ONDERNEMINGEN","BT_O_LH_1","8","0","0","8","8","63","0","0","2","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0830","ONDERNEMINGEN","BT_O_LH_2","2","0","0","2","2","17","0","","1","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0830","ONDERNEMINGEN","BT_O_OB_1","62","0","0","62","62","475","0","0","5","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0830","ONDERNEMINGEN","BT_O_OB_2","6","0","0","6","6","67","0","","5","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0830","ONDERNEMINGEN","BT_O_OVERIG_1","30","0","0","30","30","223","0","0","3","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0830","PARTICULIEREN","BT_P_BEST_1","18","1","4","14","8","668","74","0","2","0.77777777777778","0.47058823529412"
"","2016","1","2016-03","3","201610","10","42438","08","0830","PARTICULIEREN","BT_P_BETA_1","82","0","0","82","41","3397","0","0","22","1","0.5"
"","2016","1","2016-03","3","201610","10","42438","08","0830","PARTICULIEREN","BT_P_HUBA_1","35","0","1","34","34","268","0","0","7","0.97142857142857","0.97142857142857"
"","2016","1","2016-03","3","201610","10","42438","08","0830","PARTICULIEREN","BT_P_IB_1","306","1","7","299","95","16065","245","0","17","0.97712418300654","0.31147540983607"
"","2016","1","2016-03","3","201610","10","42438","08","0830","PARTICULIEREN","BT_P_IB_2","33","0","0","33","32","598","0","","37","1","0.96969696969697"
"","2016","1","2016-03","3","201610","10","42438","08","0830","PARTICULIEREN","BT_P_OLDV_1","3","0","0","3","1","191","0","","5","1","0.33333333333333"
"","2016","1","2016-03","3","201610","10","42438","08","0830","TOESLAGEN","BT_T_BETA_1","71","0","2","69","42","2529","34","0","9","0.97183098591549","0.59154929577465"
"","2016","1","2016-03","3","201610","10","42438","08","0830","TOESLAGEN","BT_T_BETA_2","11","0","0","11","11","109","0","","12","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0830","TOESLAGEN","BT_T_GRIP_1","1","0","0","1","0","39","0","","1","1","0"
"","2016","1","2016-03","3","201610","10","42438","08","0830","TOESLAGEN","BT_T_TOESLAGEN_1","105","0","2","103","53","4228","65","0","10","0.98095238095238","0.5047619047619"
"","2016","1","2016-03","3","201610","10","42438","08","0830","TOESLAGEN","BT_T_VERMOGEN_1","1","0","0","1","1","6","0","","","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0845","AUTO","BT_A_AUTO_1","86","0","1","85","85","633","0","0","8","0.98837209302326","0.98837209302326"
"","2016","1","2016-03","3","201610","10","42438","08","0845","AUTO","BT_A_BPM_1","7","0","0","7","7","41","0","0","1","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0845","AUTO","BT_A_VRACHT_1","1","0","0","1","1","4","0","","1","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0845","BO_TOESLAGEN","TT_BO_TOESL_2","10","0","0","10","6","293","0","","11","1","0.6"
"","2016","1","2016-03","3","201610","10","42438","08","0845","BO_TOESLAGEN","TT_T_HUZO_1","3","0","0","3","2","63","0","0","","1","0.66666666666667"
"","2016","1","2016-03","3","201610","10","42438","08","0845","BUITENLAND","BT_B_BUIT_1","47","0","2","45","43","469","8","0","5","0.95744680851064","0.91489361702128"
"","2016","1","2016-03","3","201610","10","42438","08","0845","BUITENLAND","BT_B_IB_2","1","0","0","1","1","11","0","","1","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0845","BUITENLAND","BT_B_OND_1","","","","","","","","","1","",""
"","2016","1","2016-03","3","201610","10","42438","08","0845","BUITENLAND","BT_B_TSL_1","1","0","0","1","1","17","0","","1","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0845","DOUANE","BT_D_OVERIG_1","7","0","1","6","6","48","0","0","","0.85714285714286","0.85714285714286"
"","2016","1","2016-03","3","201610","10","42438","08","0845","GENERIEK","BT_G_ENGELS_1","5","0","0","5","5","44","0","","6","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0845","GENERIEK","BT_G_ERFETM_1","8","0","0","8","3","312","0","0","7","1","0.375"
"","2016","1","2016-03","3","201610","10","42438","08","0845","GENERIEK","BT_G_GELDZAKEN_1","27","0","3","24","0","5088","51","0","","0.88888888888889","0"
"","2016","1","2016-03","3","201610","10","42438","08","0845","GENERIEK","BT_G_INVOR_1","13","0","0","13","4","654","0","0","6","1","0.30769230769231"
"","2016","1","2016-03","3","201610","10","42438","08","0845","GENERIEK","BT_G_SCHEIDEN_1","9","0","0","9","5","269","0","0","4","1","0.55555555555556"
"","2016","1","2016-03","3","201610","10","42438","08","0845","GENERIEK (1 BRN)","BT_G_CAMP_1","6","0","0","6","6","21","0","0","1","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0845","GENERIEK (EBV)","BT_G_EBV_1","34","0","0","34","34","269","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0845","GENERIEK (OHV)","BT_G_OHVAUTO_1","1","0","0","1","1","4","0","0","","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0845","GENERIEK (OHV)","BT_G_OHVPART_1","1","0","0","1","0","155","0","0","","1","0"
"","2016","1","2016-03","3","201610","10","42438","08","0845","GENERIEK (OHV)","BT_G_OHVTOE_1","1","0","0","1","0","55","0","0","","1","0"
"","2016","1","2016-03","3","201610","10","42438","08","0845","INTERMEDIAIRS","BT_HI_IB_1","51","1","1","50","35","1154","1","0","","0.98039215686275","0.7"
"","2016","1","2016-03","3","201610","10","42438","08","0845","INTERMEDIAIRS","BT_HI_OVERIG_1","72","0","1","71","44","1935","15","0","","0.98611111111111","0.61111111111111"
"","2016","1","2016-03","3","201610","10","42438","08","0845","ONDERNEMINGEN","BT_O_EXPERTLIJN_1","4","0","0","4","3","127","0","","6","1","0.75"
"","2016","1","2016-03","3","201610","10","42438","08","0845","ONDERNEMINGEN","BT_O_IB_1","52","1","2","50","30","1744","3","0","15","0.96153846153846","0.58823529411765"
"","2016","1","2016-03","3","201610","10","42438","08","0845","ONDERNEMINGEN","BT_O_IB_2","17","0","0","17","8","922","0","","20","1","0.47058823529412"
"","2016","1","2016-03","3","201610","10","42438","08","0845","ONDERNEMINGEN","BT_O_KTU_1","7","0","0","7","5","154","0","","7","1","0.71428571428571"
"","2016","1","2016-03","3","201610","10","42438","08","0845","ONDERNEMINGEN","BT_O_LH_1","12","0","0","12","12","104","0","0","2","1","1"
"","2016","1","2016-03","3","201610","10","42438","08","0845","ONDERNEMINGEN","BT_O_LH_2","3","0","0","3","2","257","0","","3","1","0.66666666666667"
"","2016","1","2016-03","3","201610","10","42438","08","0845","ONDERNEMINGEN","BT_O_OB_1","71","0","1","70","70","527","0","0","5","0.98591549295775","0.98591549295775"
